-16 0 0 93.7458 166.535 -414.364
-14 0 0 93.8013 166.488 -414.254
-12 0 0 93.8471 166.415 -414.165
-10 0 0 93.9032 166.281 -414.328
-8 0 0 93.9364 166.215 -414.212
-6 0 0 93.9859 166.142 -413.969
-4 0 0 94.0381 166.061 -414.085
-2 0 0 94.141 165.974 -413.997
0 0 0 94.1808 165.887 -413.98
2 0 0 94.1885 165.804 -413.788
4 0 0 94.3069 165.669 -413.625
6 0 0 94.3434 165.726 -413.552
8 0 0 94.3898 165.566 -413.505
10 0 0 94.488 165.519 -413.427
12 0 0 94.6017 165.465 -413.323
14 0 0 94.6917 165.392 -413.302
16 0 0 94.785 165.291 -413.198
