0 -20 0 94.3849 167.688 -414.25
0 -18 0 94.4402 167.555 -414.147
0 -16 0 94.429 167.456 -414.149
0 -14 0 94.3877 167.278 -414.075
0 -12 0 94.3482 167.13 -414.245
0 -10 0 94.3159 166.963 -414.004
0 -8 0 94.295 166.774 -413.983
0 -6 0 94.2782 166.535 -413.959
0 -4 0 94.2586 166.327 -414.075
0 -2 0 94.2439 166.148 -413.938
0 0 0 94.1956 165.961 -413.847
0 2 0 94.2286 165.768 -413.844
0 4 0 94.1733 165.555 -413.797
0 6 0 94.1218 165.355 -413.712
0 8 0 94.0956 165.217 -413.495
0 10 0 94.0153 165.04 -413.411
0 12 0 93.964 164.771 -413.412
0 14 0 93.9002 164.694 -413.272
0 16 0 93.903 164.52 -413.232
0 18 0 93.9087 164.352 -413.109
0 20 0 93.7963 164.2 -413.101
